,i,j,clusters
1466,11,58,7
1467,11,59,1
1468,11,60,1
1469,11,61,1
1470,11,62,1
1471,11,63,1
1472,11,64,1
1473,11,65,1
1474,11,66,7
1475,11,67,3
1476,11,68,2
1477,11,69,2
1478,11,70,3
1479,11,71,4
1480,11,72,5
1481,11,73,5
1482,11,74,4
1483,11,75,4
1484,11,76,4
1485,11,77,4
1486,11,78,4
1487,11,79,4
1488,11,80,4
1489,11,81,4
1490,11,82,4
1491,11,83,4
1492,11,84,4
1493,11,85,4
1494,11,86,4
1495,11,87,4
1496,11,88,4
1497,11,89,4
1498,11,90,4
1499,11,91,4
1500,11,92,4
1501,11,93,4
1502,11,94,4
1503,11,95,4
1504,11,96,4
1505,11,97,4
1506,11,98,4
1507,11,99,4
1508,11,100,4
1509,11,101,4
1510,11,102,4
1511,11,103,4
1512,11,104,4
1513,11,105,4
1514,11,106,4
1515,11,107,3
1516,11,108,2
1517,11,109,2
1518,11,110,2
1519,11,111,2
1520,11,112,2
1521,11,113,2
1522,11,114,2
1523,11,115,2
1524,11,116,2
1525,11,117,2
1526,11,118,2
1527,11,119,2
1528,11,120,2
1529,11,121,2
1530,11,122,2
1531,11,123,2
1532,11,124,2
1533,11,125,2
1534,11,126,2
1535,11,127,2
1536,12,0,2
1537,12,1,2
1538,12,2,2
1539,12,3,2
1540,12,4,2
1541,12,5,2
1542,12,6,2
1543,12,7,2
1544,12,8,2
1545,12,9,2
1546,12,10,2
1547,12,11,2
1548,12,12,2
1549,12,13,2
1550,12,14,2
1551,12,15,2
1552,12,16,2
1553,12,17,2
1554,12,18,2
1555,12,19,2
1556,12,20,4
1557,12,21,4
1558,12,22,4
1559,12,23,4
1560,12,24,4
1561,12,25,4
1562,12,26,4
1563,12,27,4
1564,12,28,4
1565,12,29,4
1566,12,30,4
1567,12,31,4
1568,12,32,4
1569,12,33,4
1570,12,34,5
1571,12,35,5
1572,12,36,5
1573,12,37,5
1574,12,38,4
1575,12,39,4
1576,12,40,5
1577,12,41,5
1578,12,42,5
1579,12,43,5
1580,12,44,5
1581,12,45,5
1582,12,46,5
1583,12,47,5
1584,12,48,5
1585,12,49,5
1586,12,50,5
1587,12,51,5
1588,12,52,5
1589,12,53,5
1590,12,54,6
1591,12,55,1
1592,12,56,1
1593,12,57,8
1594,12,58,1
1595,12,59,1
1596,12,60,1
1597,12,61,1
1598,12,62,1
1599,12,63,1
1600,12,64,1
1601,12,65,1
1602,12,66,1
1603,12,67,9
1604,12,68,10
1605,12,69,1
1606,12,70,1
1607,12,71,1
1608,12,72,4
1609,12,73,3
1610,12,74,4
1611,12,75,4
1612,12,76,5
1613,12,77,5
1614,12,78,5
1615,12,79,5
1616,12,80,4
1617,12,81,4
1618,12,82,5
1619,12,83,5
1620,12,84,5
1621,12,85,5
1622,12,86,3
1623,12,87,3
1624,12,88,4
1625,12,89,4
1626,12,90,4
1627,12,91,4
1628,12,92,4
1629,12,93,4
1630,12,94,4
1631,12,95,4
1632,12,96,4
1633,12,97,4
1634,12,98,4
1635,12,99,4
1636,12,100,4
1637,12,101,4
1638,12,102,4
1639,12,103,4
1640,12,104,4
1641,12,105,4
1642,12,106,4
1643,12,107,3
1644,12,108,2
1645,12,109,2
1646,12,110,2
1647,12,111,2
1648,12,112,2
1649,12,113,2
1650,12,114,2
1651,12,115,2
1652,12,116,2
1653,12,117,2
1654,12,118,2
1655,12,119,2
1656,12,120,2
1657,12,121,2
1658,12,122,2
1659,12,123,2
